Date;Open;High;Low;Close;Adj Close;Volume
17.04.2017;50.610.001;51.150.002;50.610.001;51.070.000;51.070.000;842300
18.04.2017;51.259.998;52.599.998;50.810.001;52.520.000;52.520.000;1145800
19.04.2017;52.720.001;53.410.000;52.580.002;53.270.000;53.270.000;713500
20.04.2017;53.630.001;54.029.999;52.840.000;53.980.000;53.980.000;852500
21.04.2017;54.419.998;55.360.001;53.750.000;54.090.000;54.090.000;1361800
24.04.2017;54.360.001;54.570.000;53.000.000;53.980.000;53.980.000;1349500
25.04.2017;54.369.999;54.419.998;53.619.999;53.630.001;53.630.001;777400
26.04.2017;53.619.999;53.950.001;53.029.999;53.650.002;53.650.002;591900
27.04.2017;53.799.999;54.130.001;53.349.998;53.480.000;53.480.000;739100
28.04.2017;53.430.000;53.880.001;53.220.001;53.680.000;53.680.000;585300
1.05.2017;53.750.000;54.240.002;53.500.000;54.110.001;54.110.001;817500
2.05.2017;54.160.000;54.849.998;53.650.002;54.779.999;54.779.999;1203100
3.05.2017;54.480.000;55.119.999;54.209.999;54.700.001;54.700.001;1918000
4.05.2017;61.889.999;63.340.000;57.650.002;58.049.999;58.049.999;5166300
5.05.2017;58.230.000;60.750.000;57.990.002;60.439.999;60.439.999;2228500
8.05.2017;59.529.999;60.549.999;59.439.999;60.049.999;60.049.999;2401000
9.05.2017;60.099.998;61.220.001;59.799.999;60.080.002;60.080.002;1975900
10.05.2017;59.919.998;60.750.000;59.419.998;60.480.000;60.480.000;717800
11.05.2017;60.450.001;61.000.000;60.000.000;60.310.001;60.310.001;1079300
12.05.2017;60.369.999;60.980.000;60.020.000;60.720.001;60.720.001;641700
15.05.2017;60.849.998;62.419.998;60.750.000;61.930.000;61.930.000;2588000
16.05.2017;61.930.000;62.790.001;61.349.998;61.980.000;61.980.000;1175800
17.05.2017;60.750.000;61.340.000;60.169.998;60.230.000;60.230.000;1173100
18.05.2017;59.880.001;60.910.000;59.610.001;59.689.999;59.689.999;986800
19.05.2017;60.000.000;60.889.999;59.470.001;60.340.000;60.340.000;1130300
22.05.2017;60.209.999;60.910.000;59.500.000;60.439.999;60.439.999;1249800
23.05.2017;60.439.999;60.650.002;59.799.999;60.220.001;60.220.001;538500
24.05.2017;60.970.001;62.040.001;60.849.998;61.959.999;61.959.999;2066600
25.05.2017;62.000.000;66.860.001;61.770.000;64.150.002;64.150.002;3426500
26.05.2017;63.860.001;64.889.999;63.049.999;63.560.001;63.560.001;1204100
30.05.2017;63.270.000;63.650.002;62.000.000;62.520.000;62.520.000;909500
31.05.2017;62.680.000;63.000.000;61.689.999;62.009.998;62.009.998;941500
1.06.2017;62.029.999;62.639.999;61.430.000;62.430.000;62.430.000;1516800
2.06.2017;62.369.999;63.000.000;62.020.000;62.680.000;62.680.000;650700
5.06.2017;62.500.000;63.340.000;62.310.001;62.349.998;62.349.998;687300
6.06.2017;61.959.999;62.970.001;61.799.999;61.970.001;61.970.001;826400
7.06.2017;62.049.999;62.759.998;61.250.000;61.919.998;61.919.998;600200
8.06.2017;62.090.000;63.270.000;61.599.998;63.189.999;63.189.999;685500
9.06.2017;63.410.000;64.580.002;58.889.999;60.299.999;60.299.999;1680400
12.06.2017;58.919.998;60.400.002;57.250.000;60.220.001;60.220.001;1803400
13.06.2017;62.660.000;63.680.000;61.040.001;62.150.002;62.150.002;1931000
14.06.2017;62.369.999;62.939.999;61.119.999;62.119.999;62.119.999;942800
15.06.2017;61.230.000;62.150.002;60.750.000;61.799.999;61.799.999;732900
16.06.2017;61.619.999;62.230.000;61.259.998;62.049.999;62.049.999;1139200
19.06.2017;62.610.001;64.110.001;62.490.002;63.779.999;63.779.999;1454700
20.06.2017;63.660.000;63.990.002;62.639.999;62.889.999;62.889.999;1176100
21.06.2017;63.400.002;65.489.998;63.400.002;64.940.002;64.940.002;1507700
22.06.2017;65.220.001;66.099.998;64.870.003;65.720.001;65.720.001;1147600
23.06.2017;65.730.003;66.519.997;65.510.002;66.500.000;66.500.000;1091900
26.06.2017;66.790.001;67.099.998;65.750.000;66.050.003;66.050.003;925900
27.06.2017;65.750.000;66.500.000;64.459.999;64.470.001;64.470.001;880100
28.06.2017;64.910.004;65.040.001;63.639.999;64.129.997;64.129.997;693900
29.06.2017;63.970.001;64.250.000;61.209.999;61.770.000;61.770.000;1220700
30.06.2017;61.779.999;62.419.998;61.080.002;61.270.000;61.270.000;1232700
3.07.2017;61.630.001;61.790.001;60.430.000;61.160.000;61.160.000;456900
